Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
1451,2.210012086,2.757446217,7.998621343,13.42227459,0.062853552,13.96970872,0.892114938,6.204253806,0.028385476,52.38133804,0,0,0,0.040550678,0.032440545,0.256
1452,0,33.33333333,0,0,0,0,0,33.33333333,0,33.33333333,0,0,0,0,0,0.2526745
1453,0,47.06000047,0,0,0,0,0,29.40999929,0,23.53000024,0,0,0,0,0,0.255172
1454,0,20.15999946,0,0,0,0,0,28.68999998,0,51.15000055,0,0,0,0,0,0.255
1455,0,66.69999949,0,0,0,33.30000051,0,0,0,0,0,0,0,0,0,0.255
1458,0,0,0,0,0,0,0,14.28857107,0,71.42285786,0,0,0,14.28857107,0,0.251205
1460,8.720000101,0,0,23.5899997,0,0,4.69999972,0,0,62.99000048,0,0,0,0,0,0.255
1462,7.869999848,0,0,27.41999995,0,0,6.099999876,0,0,58.61000033,0,0,0,0,0,0.255
1463,20,0,0,0,0,0,20,0,0,60,0,0,0,0,0,0.255
1464,0,0,0,0,0,0,0,32.90000153,0,67.09999847,0,0,0,0,0,0.255
1465,8.62000001,0,0,24.37999951,0,0,5.179999902,0,0,61.82000058,0,0,0,0,0,0.255
1466,0,0,0,0,0,0,50,0,40,10,0,0,0,0,0,0.255
1467,0,3.299999929,0,40.29999895,0,0,0,0,56.40000112,0,0,0,0,0,0,0.255
1468,0,0,0,0,0,0,0,32.62000018,0,67.37999982,0,0,0,0,0,0.255
1469,16.33000008,11.62,0,0,9.420000166,0,6.409999909,13.33000005,0,42.8899998,0,0,0,0,0,0.255
1470,9.60000029,0,0,23.71999909,0,0,3.119999856,0,0,63.56000077,0,0,0,0,0,0.255
1472,0,0,0,0,0,0,0,32.90000153,0,67.09999847,0,0,0,0,0,0.255
1473,0,0,0,0,0,0,0,30.09999981,0,69.90000019,0,0,0,0,0,0.255
1474,0,0,0,0,0,0,0,27.37999864,0,72.62000136,0,0,0,0,0,0.245
1476,0,0,0,0,0,0,0,36.25999832,0,63.74000168,0,0,0,0,0,0.255
1479,0,20.10000038,0,0,0,0,0,28.89999962,0,51,0,0,0,0,0,0.255
1480,0,0,0,0,0,0,0,36.20000076,0,63.79999924,0,0,0,0,0,0.255
1481,0,0,0,0,0,0,37.5,0,50,0,0,12.5,0,0,0,0.255
1484,0,0,0,22.5,0,0,0,12.5,0,65,0,0,0,0,0,0.255
1485,0,0,0,0,15,0,0,10,0,75,0,0,0,0,0,0.255
1487,0,0,0,0,0,0,0,0,46.5,0,0,0,0,53.5,0,0.255
1490,0,23.90000007,0,0,0,0,0,16.50000031,0,59.59999961,0,0,0,0,0,0.224333333
